run_id,run_name,status,dataset_variant,n_channels,architecture,n_conv_layers,total_params,batch_size,learning_rate,epochs_max,epochs_completed,best_epoch,best_val_loss,best_val_mae,best_val_rmse,train_loss_at_best,final_train_loss,duration_min,notes,run_dir
20260829_024636_batch_8,batch_8,completed,base,,32@3x3 → 64@3x3 → 64@3x3,3,62721,8,0.001,,19,14,0.8578358292579651,0.8358947038650513,1.0846059322357178,0.9957369565963744,,10.22,Mayor ruido de gradiente / más updates por epoch,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_024636_batch_8
20260829_025651_batch_32,batch_32,completed,base,,32@3x3 → 64@3x3 → 64@3x3,3,62721,32,0.001,,18,13,0.9391232132911682,0.8793137669563293,1.1348308324813845,1.0223274230957031,,8.93,Gradiente más estable / menos updates por epoch,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_025651_batch_32
20260829_030549_lr_3e4,lr_3e4,completed,base,,32@3x3 → 64@3x3 → 64@3x3,3,62721,16,0.0003,,14,9,1.0599290132522583,0.9309372901916504,1.2056139707565308,1.141347050666809,,6.95,Optimización más conservadora,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_030549_lr_3e4
20260829_031247_weather_absolute,weather_absolute,completed,weather_absolute,,32@3x3 → 64@3x3 → 64@3x3,3,67041,16,0.001,,7,2,1.182826280593872,0.9759450554847716,1.2735919952392578,1.0301427841186523,,3.48,Arquitectura base incorporando meteorología espacial IDW,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_031247_weather_absolute
20260829_031618_dropout_01,dropout_01,completed,base,,32@3x3 → 64@3x3 → 64@3x3,3,62721,16,0.001,,19,14,1.031459927558899,0.9224472045898438,1.1893126964569092,1.0738556385040283,,8.67,Spatial dropout suave para comprobar generalización,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_031618_dropout_01
20260829_042649_high_capacity_5l_50ep,high_capacity_5L_50ep,completed,base,,64@3x3 → 128@3x3 → 128@3x3 → 128@3x3 → 64@3x3,5,457345,16,0.001,,32,27,0.7024312019348145,0.7685548067092896,0.9814580082893372,0.757777214050293,,91.16,Extensión del mejor modelo actual hasta 50 epochs,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_042649_high_capacity_5l_50ep
20260829_055800_deep_capacity_6l_50ep,deep_capacity_6L_50ep,completed,base,,64@3x3 → 128@3x3 → 128@3x3 → 128@3x3 → 128@3x3 → 64@3x3,6,604929,16,0.001,,32,27,0.6946666240692139,0.7667180895805359,0.9760185480117798,0.7194186449050903,,126.39,Añade una capa 128 adicional al mejor modelo,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_055800_deep_capacity_6l_50ep
20260829_080426_wide_capacity_5l_50ep,wide_capacity_5L_50ep,completed,base,,64@3x3 → 128@3x3 → 256@3x3 → 128@3x3 → 64@3x3,5,752385,16,0.001,,32,27,0.6922380924224854,0.764018714427948,0.9743109941482544,0.7359448075294495,,173.99,Mayor anchura central para comprobar límite de capacidad,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_080426_wide_capacity_5l_50ep
20260829_140045_final_model_high_capacity_5l_retrain,Final_model_high_capacity_5L_retrain,interrupted,base,,64@3x3 → 128@3x3 → 128@3x3 → 128@3x3 → 64@3x3,5,457345,16,0.001,,7,7,0.9937475919723512,0.9006198644638062,1.1673682928085327,1.0225321054458618,,21.04,Reentrenamiento del mejor modelo con el dataset conjunto train + validation,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_140045_final_model_high_capacity_5l_retrain
20260829_142445_final_model_retrain_high_capacity_5l,Final_model_retrain_high_capacity_5L,completed,base,,64@3x3 → 128@3x3 → 128@3x3 → 128@3x3 → 64@3x3,5,457345,16,0.001,,40,,,,,,,147.58,Reentrenamiento del mejor modelo con el dataset conjunto train + validation,C:\Urbanheat\06_Results\metrics\cnn_runs\20260829_142445_final_model_retrain_high_capacity_5l
